calificacion_id,usuario_id,contenido_id,fecha_calificacion,puntuacion_1_5,recomendaria,categoria_comentario
K00001,U00975,C0363,2025-08-22 08:20:32,4,Sí,Contenido
K00002,U00975,C0135,2025-10-26 13:24:35,5,Sí,Historia
K00003,U00975,C0324,2025-04-22 20:21:42,4,Sí,Contenido
K00004,U00975,C0299,2025-06-07 00:40:30,4,Sí,Experiencia general
K00005,U00234,C0008,2025-12-23 20:16:42,4,Sí,Actuación
K00006,U01392,C0106,2025-09-27 17:30:05,5,Sí,Historia
K00007,U01392,C0395,2025-09-08 23:28:17,5,Sí,Actuación
K00008,U01392,C0228,2025-11-28 20:26:48,4,Sí,Historia
K00009,U00582,C0133,2025-11-29 11:26:57,5,Sí,Calidad técnica
K00010,U01205,C0373,2025-12-21 11:12:23,3,No,Experiencia general
K00011,U01205,C0158,2025-11-09 21:25:43,3,No,Actuación
K00012,U00586,C0289,2025-10-30 16:47:55,4,Sí,Contenido
K00013,U00586,C0218,2025-11-18 15:05:07,4,Sí,Calidad técnica
K00014,U00586,C0053,2025-09-24 08:28:26,4,Sí,Actuación
K00015,U00053,C0313,2025-01-04 22:45:05,3,No,Actuación
K00016,U00339,C0078,2025-06-23 01:20:45,4,Sí,Historia
K00017,U00339,C0257,2025-08-05 19:08:57,5,Sí,Historia
K00018,U00339,C0362,2025-11-16 20:28:54,4,Sí,Actuación
K00019,U01315,C0106,2025-07-23 14:48:01,4,Sí,Calidad técnica
K00020,U01315,C0050,2025-04-03 12:54:41,3,No,Experiencia general
K00021,U01315,C0327,2025-06-24 18:25:46,4,Sí,Actuación
K00022,U01315,C0076,2025-03-06 18:11:40,4,Sí,Historia
K00023,U01449,C0416,2025-10-03 23:45:07,4,Sí,Contenido
K00024,U01449,C0313,2025-07-22 17:34:26,4,Sí,Historia
K00025,U00617,C0174,2025-07-26 13:37:05,4,Sí,Experiencia general
K00026,U00617,C0320,2025-09-20 12:26:51,4,Sí,Contenido
K00027,U01175,C0310,2025-12-05 21:59:01,3,No,Actuación
K00028,U01175,C0255,2025-03-24 21:20:00,4,Sí,Experiencia general
K00029,U01175,C0315,2025-12-19 19:32:06,4,Sí,Experiencia general
K00030,U01175,C0257,2025-04-08 19:54:30,5,Sí,Experiencia general
K00031,U00315,C0351,2025-10-26 21:25:43,3,No,Actuación
K00032,U00315,C0060,2025-11-11 14:59:35,4,Sí,Calidad técnica
K00033,U00315,C0173,2025-12-27 08:06:04,4,Sí,Actuación
K00034,U00812,C0123,2025-10-21 21:42:01,3,No,Historia
K00035,U00812,C0061,2025-10-15 23:58:50,4,Sí,Actuación
K00036,U00812,C0063,2025-08-04 14:14:21,4,Sí,Calidad técnica
K00037,U00812,C0364,2025-07-27 18:19:24,4,Sí,Contenido
K00038,U00161,C0071,2025-03-07 11:12:09,4,Sí,Experiencia general
K00039,U00116,C0393,2025-08-25 23:54:39,4,Sí,Calidad técnica
K00040,U00116,C0404,2025-01-30 21:23:46,4,Sí,Contenido
K00041,U00116,C0134,2025-04-14 20:34:40,4,Sí,Historia
K00042,U00987,C0057,2025-04-10 10:47:40,4,Sí,Experiencia general
K00043,U00987,C0417,2025-12-03 18:59:40,4,Sí,Contenido
K00044,U00882,C0364,2025-11-28 22:00:59,4,Sí,Historia
K00045,U00882,C0090,2025-11-17 20:50:50,4,Sí,Calidad técnica
K00046,U01063,C0377,2025-10-24 23:49:04,4,Sí,Calidad técnica
K00047,U01063,C0295,2025-09-28 09:26:27,4,Sí,Experiencia general
K00048,U01063,C0021,2025-09-23 15:37:20,4,Sí,Actuación
K00049,U00102,C0113,2025-03-23 13:32:04,4,Sí,Calidad técnica
K00050,U00102,C0284,2025-10-13 15:27:17,4,Sí,Historia
K00051,U00102,C0171,2025-03-16 17:27:30,5,Sí,Experiencia general
K00052,U00037,C0218,2025-05-23 16:10:58,4,Sí,Actuación
K00053,U00037,C0152,2025-03-16 21:50:24,4,Sí,Calidad técnica
K00054,U00037,C0063,2025-04-05 22:46:35,3,No,Experiencia general
K00055,U00172,C0108,2025-09-25 07:41:06,5,Sí,Experiencia general
K00056,U00027,C0055,2025-05-12 21:33:38,4,Sí,Experiencia general
K00057,U00027,C0129,2025-11-28 09:05:20,4,Sí,Historia
K00058,U00027,C0243,2025-06-03 14:28:52,4,Sí,Historia
K00059,U00027,C0338,2025-07-14 11:52:16,4,Sí,Experiencia general
K00060,U01433,C0062,2025-02-25 20:56:01,3,No,Contenido
K00061,U00839,C0295,2025-10-04 16:41:56,4,Sí,Experiencia general
K00062,U00839,C0172,2025-08-26 23:24:40,4,Sí,Experiencia general
K00063,U00839,C0144,2025-06-13 18:23:06,4,Sí,Contenido
K00064,U00839,C0098,2025-05-18 22:34:07,5,Sí,Contenido
K00065,U01475,C0335,2025-12-16 08:30:59,3,No,Experiencia general
K00066,U01475,C0269,2025-04-28 07:33:09,4,Sí,Experiencia general
K00067,U00872,C0375,2025-05-26 08:38:38,4,Sí,Contenido
K00068,U00831,C0008,2025-06-25 20:39:48,4,Sí,Experiencia general
K00069,U00831,C0314,2025-08-06 21:56:16,3,No,Experiencia general
K00070,U00831,C0158,2025-12-20 20:53:37,4,Sí,Contenido
K00071,U01371,C0169,2025-10-02 17:09:33,4,Sí,Actuación
K00072,U00547,C0384,2025-04-02 16:45:54,3,No,Experiencia general
K00073,U00547,C0246,2025-05-19 23:37:55,5,Sí,Calidad técnica
K00074,U00547,C0058,2025-11-25 00:00:44,4,Sí,Historia
K00075,U00547,C0289,2025-10-10 03:20:04,5,Sí,Historia
K00076,U01301,C0353,2025-12-26 07:23:20,4,Sí,Calidad técnica
K00077,U00718,C0396,2025-09-14 18:08:37,4,Sí,Contenido
K00078,U00718,C0030,2025-07-14 13:42:54,3,No,Experiencia general
K00079,U00718,C0389,2025-07-09 05:29:57,3,No,Contenido
K00080,U00718,C0204,2025-04-21 05:41:32,4,Sí,Experiencia general
K00081,U01446,C0301,2025-06-17 20:25:01,3,No,Calidad técnica
K00082,U01446,C0391,2025-07-03 03:41:51,4,Sí,Historia
K00083,U01446,C0255,2025-09-13 20:35:07,4,Sí,Experiencia general
