dispositivo_id,usuario_id,tipo_dispositivo,sistema_operativo,version_app,fecha_registro_dispositivo
D00001,U00001,Móvil,iOS,7.2,2024-09-25
D00002,U00002,Smart TV,Tizen,7.2,2025-10-17
D00003,U00003,Consola,PlayStation,7.1,2025-02-09
D00004,U00004,Smart TV,webOS,7.2,2025-09-17
D00005,U00005,Smart TV,Roku OS,7.0,2025-08-29
D00006,U00005,Computador,Linux,7.2,2025-06-17
D00007,U00006,Tablet,Android,7.0,2025-07-07
D00008,U00007,Móvil,Android,7.2,2024-02-05
D00009,U00008,Computador,Windows,7.1,2025-08-02
D00010,U00008,Móvil,Android,7.1,2025-05-18
D00011,U00009,Computador,Linux,7.0,2025-04-27
D00012,U00009,Smart TV,Roku OS,7.0,2024-05-19
D00013,U00010,Computador,macOS,7.2,2025-07-02
D00014,U00010,Smart TV,webOS,7.0,2024-04-08
D00015,U00011,Móvil,iOS,7.2,2023-12-16
D00016,U00012,Móvil,Android,7.2,2025-10-26
D00017,U00013,Tablet,iPadOS,7.1,2025-04-14
D00018,U00014,Tablet,iPadOS,7.2,2025-09-20
D00019,U00014,Smart TV,webOS,7.2,2025-11-20
D00020,U00015,Móvil,Android,7.2,2025-09-03
D00021,U00015,Computador,Windows,7.2,2025-02-28
D00022,U00016,Móvil,Android,7.0,2023-05-27
D00023,U00016,Computador,Linux,7.0,2024-01-30
D00024,U00016,Smart TV,webOS,7.0,2025-05-28
D00025,U00017,Móvil,Android,7.2,2025-07-28
D00026,U00017,Smart TV,Tizen,7.2,2024-06-11
D00027,U00018,Computador,Linux,6.9,2024-12-05
D00028,U00018,Smart TV,Roku OS,7.2,2025-03-01
D00029,U00018,Consola,PlayStation,7.1,2025-11-06
D00030,U00019,Consola,Xbox,7.0,2024-10-28
D00031,U00019,Tablet,iPadOS,7.1,2024-10-10
D00032,U00020,Móvil,iOS,7.0,2025-11-13
D00033,U00021,Móvil,iOS,7.0,2025-11-11
D00034,U00021,Computador,Windows,7.2,2025-10-03
D00035,U00022,Computador,Linux,6.8,2023-07-30
D00036,U00022,Móvil,iOS,7.1,2025-09-17
D00037,U00023,Tablet,iPadOS,7.2,2025-06-19
D00038,U00023,Smart TV,webOS,7.1,2025-04-22
D00039,U00024,Smart TV,Tizen,7.1,2025-08-06
D00040,U00025,Computador,Windows,7.1,2025-06-22
D00041,U00025,Smart TV,Roku OS,6.9,2025-03-17
D00042,U00026,Tablet,iPadOS,7.2,2025-10-22
D00043,U00027,Tablet,iPadOS,7.2,2025-10-12
D00044,U00028,Smart TV,Tizen,6.8,2024-06-09
D00045,U00029,Smart TV,Tizen,7.2,2024-10-31
D00046,U00029,Móvil,Android,7.2,2025-04-25
D00047,U00029,Computador,Windows,7.2,2024-12-20
D00048,U00030,Móvil,iOS,7.2,2025-08-21
D00049,U00030,Tablet,iPadOS,7.0,2025-10-21
D00050,U00031,Móvil,iOS,7.1,2025-10-04
D00051,U00031,Computador,Windows,7.1,2025-07-25
D00052,U00032,Móvil,Android,7.2,2025-10-30
D00053,U00032,Tablet,iPadOS,7.1,2025-06-25
D00054,U00033,Móvil,Android,7.2,2024-05-26
D00055,U00034,Smart TV,Tizen,7.1,2024-06-03
D00056,U00034,Computador,Linux,7.0,2025-01-06
D00057,U00035,Móvil,Android,6.9,2025-09-09
D00058,U00036,Tablet,Android,7.0,2024-06-28
D00059,U00036,Móvil,Android,7.1,2024-05-28
D00060,U00037,Computador,macOS,7.1,2024-02-16
D00061,U00038,Móvil,Android,7.1,2025-11-06
D00062,U00038,Computador,Windows,7.2,2025-11-05
D00063,U00039,Computador,Linux,7.0,2025-06-21
D00064,U00039,Móvil,iOS,7.1,2025-09-17
D00065,U00039,Smart TV,Android TV,7.0,2025-06-02
D00066,U00040,Móvil,iOS,7.2,2025-10-10
D00067,U00040,Tablet,iPadOS,6.9,2025-11-13
D00068,U00041,Tablet,iPadOS,7.0,2025-11-26
D00069,U00042,Móvil,iOS,7.2,2025-11-19
D00070,U00043,Smart TV,Roku OS,7.1,2025-03-29
D00071,U00044,Smart TV,webOS,7.1,2024-09-22
D00072,U00045,Smart TV,Roku OS,7.0,2024-12-30
D00073,U00045,Móvil,iOS,7.2,2025-03-14
D00074,U00046,Computador,Windows,7.0,2025-07-29
D00075,U00047,Móvil,iOS,7.1,2025-11-17
D00076,U00047,Computador,macOS,6.9,2025-11-30
D00077,U00048,Móvil,Android,6.8,2025-11-04
D00078,U00049,Computador,Windows,7.2,2025-11-07
D00079,U00049,Smart TV,Android TV,7.2,2025-10-15
D00080,U00050,Smart TV,Roku OS,7.0,2025-01-23
D00081,U00051,Móvil,iOS,6.8,2025-09-05
D00082,U00051,Tablet,iPadOS,7.1,2025-02-01
D00083,U00051,Smart TV,Tizen,7.0,2024-06-25
D00084,U00052,Tablet,iPadOS,7.1,2025-02-22
D00085,U00052,Móvil,Android,7.1,2025-11-14
D00086,U00053,Smart TV,Roku OS,7.2,2025-04-06
D00087,U00053,Tablet,iPadOS,6.9,2025-11-29
D00088,U00054,Smart TV,webOS,7.2,2025-07-01
D00089,U00054,Computador,macOS,7.1,2025-09-24
D00090,U00055,Móvil,Android,7.1,2025-11-23
D00091,U00055,Computador,Windows,6.9,2025-11-05
D00092,U00056,Móvil,iOS,7.2,2025-10-11
D00093,U00057,Computador,Linux,6.8,2025-05-31
D00094,U00058,Smart TV,Roku OS,7.1,2024-01-20
D00095,U00059,Computador,macOS,7.2,2024-09-06
D00096,U00059,Smart TV,webOS,7.2,2024-04-27
D00097,U00060,Smart TV,webOS,7.1,2025-08-28
D00098,U00060,Computador,Windows,7.1,2025-02-14
D00099,U00061,Computador,Linux,7.0,2025-11-15
D00100,U00062,Tablet,iPadOS,7.2,2025-11-27
D00101,U00062,Móvil,iOS,7.0,2024-12-01
D00102,U00063,Móvil,iOS,7.2,2025-05-10
D00103,U00064,Computador,Windows,7.2,2025-11-28
D00104,U00064,Smart TV,Roku OS,6.9,2025-03-21
D00105,U00065,Tablet,iPadOS,6.9,2024-02-04
D00106,U00066,Móvil,iOS,7.0,2023-09-29
D00107,U00066,Computador,Windows,7.2,2024-07-16
D00108,U00067,Smart TV,webOS,7.1,2025-08-19
