interaccion_id,usuario_id,contenido_id,fecha_hora,tipo_interaccion,canal,origen_interfaz
I000001,U00975,C0324,2025-04-22 20:26:42,Clic recomendación,Web,Recomendados
I000002,U00975,C0299,2025-06-04 01:52:30,Compartir,Web,Búsqueda
I000003,U00975,C0382,2025-10-18 20:44:19,Clic recomendación,App,Inicio
I000004,U00975,C0363,2025-08-19 09:22:32,Me gusta,App,Inicio
I000005,U00975,C0135,2025-10-19 13:50:35,No me gusta,Web,Recomendados
I000006,U00234,C0129,2025-01-30 13:22:11,Clic recomendación,App,Recomendados
I000007,U00234,C0017,2025-03-19 13:07:40,Clic recomendación,Web,Inicio
I000008,U00234,C0411,2025-02-10 16:33:15,Agregar a mi lista,Web,Recomendados
I000009,U00234,C0169,2025-09-28 00:25:29,Agregar a mi lista,Web,Recomendados
I000010,U00234,C0271,2025-02-02 10:47:30,Me gusta,App,Tendencias
I000011,U00234,C0334,2025-09-05 08:48:29,Clic recomendación,App,Inicio
I000012,U00475,C0142,2025-02-07 22:12:48,Compartir,Web,Recomendados
I000013,U00475,C0254,2025-02-25 19:05:26,Agregar a mi lista,Web,Inicio
I000014,U00475,C0008,2025-05-31 22:21:55,Agregar a mi lista,App,Tendencias
I000015,U00475,C0263,2025-04-28 05:22:04,Me gusta,Web,Búsqueda
I000016,U00475,C0122,2025-02-26 08:52:08,Agregar a mi lista,App,Recomendados
I000017,U01392,C0395,2025-09-05 01:04:17,Clic recomendación,App,Recomendados
I000018,U01392,C0013,2025-10-09 20:36:53,Agregar a mi lista,App,Búsqueda
I000019,U01392,C0384,2025-09-23 20:05:42,Me gusta,App,Continuar viendo
I000020,U00582,C0331,2025-06-01 22:28:11,Agregar a mi lista,Web,Continuar viendo
I000021,U00582,C0105,2025-06-27 20:07:27,Clic recomendación,Web,Recomendados
I000022,U00582,C0337,2025-08-30 14:24:44,Clic recomendación,Web,Recomendados
I000023,U00582,C0304,2025-03-28 21:28:30,Agregar a mi lista,Web,Recomendados
I000024,U00582,C0099,2025-03-13 21:54:26,Clic recomendación,Web,Recomendados
I000025,U01205,C0360,2025-12-04 23:03:31,Me gusta,App,Recomendados
I000026,U01205,C0069,2025-11-01 19:47:14,Compartir,App,Recomendados
I000027,U01205,C0111,2025-12-28 18:35:00,Quitar de mi lista,App,Búsqueda
I000028,U01205,C0189,2025-12-31 16:34:10,Clic recomendación,App,Recomendados
I000029,U01205,C0079,2025-11-26 02:24:15,Agregar a mi lista,App,Continuar viendo
I000030,U00586,C0303,2025-05-16 23:04:27,Clic recomendación,Web,Recomendados
I000031,U00586,C0241,2025-06-30 16:03:45,Agregar a mi lista,App,Tendencias
I000032,U00586,C0056,2025-10-08 17:45:10,Clic recomendación,App,Recomendados
I000033,U00586,C0414,2025-12-25 23:18:08,Me gusta,App,Recomendados
I000034,U00586,C0335,2025-11-04 03:46:53,Compartir,Web,Continuar viendo
I000035,U00586,C0214,2025-10-03 23:25:35,Me gusta,Web,Búsqueda
I000036,U00586,C0307,2025-05-03 15:43:54,Agregar a mi lista,App,Continuar viendo
I000037,U00586,C0218,2025-11-18 16:10:07,Agregar a mi lista,Web,Inicio
I000038,U00586,C0034,2025-10-15 18:30:28,Clic recomendación,Web,Recomendados
I000039,U00586,C0329,2025-07-12 22:07:46,Compartir,App,Inicio
I000040,U00053,C0055,2025-03-02 16:08:16,Agregar a mi lista,App,Recomendados
I000041,U00053,C0415,2025-01-23 18:32:52,Agregar a mi lista,App,Recomendados
I000042,U00053,C0313,2025-01-03 00:31:05,Clic recomendación,App,Inicio
I000043,U00053,C0168,2025-04-23 01:31:25,Agregar a mi lista,App,Búsqueda
I000044,U00053,C0146,2025-07-11 20:27:32,Agregar a mi lista,App,Recomendados
I000045,U00053,C0278,2025-04-25 09:13:05,Compartir,App,Continuar viendo
I000046,U00053,C0270,2025-01-12 03:23:01,Agregar a mi lista,App,Continuar viendo
I000047,U00053,C0251,2025-10-18 19:46:14,Me gusta,App,Continuar viendo
I000048,U00339,C0370,2025-04-16 13:52:14,Agregar a mi lista,App,Recomendados
I000049,U00339,C0257,2025-08-05 20:43:57,No me gusta,App,Recomendados
I000050,U00339,C0016,2025-08-24 18:31:30,Compartir,App,Inicio
I000051,U00339,C0161,2025-08-24 09:28:34,Me gusta,App,Recomendados
I000052,U00339,C0325,2025-05-07 02:19:08,Me gusta,App,Tendencias
I000053,U00339,C0126,2025-01-20 21:12:57,Me gusta,App,Búsqueda
I000054,U01315,C0076,2025-03-05 18:47:40,Compartir,App,Búsqueda
I000055,U01315,C0121,2025-05-12 23:00:40,Descarga,App,Recomendados
I000056,U01315,C0379,2025-04-27 23:46:38,Clic recomendación,App,Recomendados
I000057,U01315,C0327,2025-06-21 20:12:46,Descarga,App,Búsqueda
I000058,U01315,C0412,2025-01-28 21:47:22,Quitar de mi lista,App,Continuar viendo
I000059,U01315,C0025,2025-05-24 20:33:45,Me gusta,App,Tendencias
I000060,U01449,C0313,2025-07-19 17:34:26,Agregar a mi lista,App,Búsqueda
I000061,U01449,C0351,2025-12-23 22:12:27,Agregar a mi lista,App,Recomendados
I000062,U01449,C0177,2025-06-02 22:37:36,Agregar a mi lista,App,Búsqueda
I000063,U01449,C0121,2025-09-18 23:19:51,Clic recomendación,App,Recomendados
I000064,U01449,C0258,2025-03-26 17:57:38,Agregar a mi lista,App,Recomendados
I000065,U01449,C0194,2025-12-08 22:07:11,Compartir,App,Inicio
I000066,U01449,C0354,2025-02-16 19:01:25,Agregar a mi lista,App,Búsqueda
I000067,U01449,C0359,2025-03-26 18:26:15,Compartir,App,Continuar viendo
I000068,U01449,C0341,2025-12-29 15:47:00,Descarga,App,Inicio
I000069,U01449,C0405,2025-12-27 22:36:29,Clic recomendación,App,Recomendados
I000070,U00617,C0040,2025-07-08 20:42:06,Clic recomendación,Web,Recomendados
I000071,U00617,C0109,2025-02-03 17:11:25,Clic recomendación,App,Recomendados
I000072,U00617,C0395,2025-01-23 00:12:58,Clic recomendación,Web,Recomendados
I000073,U00617,C0320,2025-09-14 13:29:51,Me gusta,App,Tendencias
