reproduccion_id,usuario_id,contenido_id,dispositivo_id,fecha_hora_inicio,tipo_dispositivo,calidad_video,minutos_reproducidos,porcentaje_completado,abandono_temprano,buffering_segundos
R000001,U00975,C0223,D01616,2025-07-02 01:02:46,Tablet,HD,61.5,67.6,No,5.6
R000002,U00234,C0019,D00385,2025-09-16 17:48:26,Computador,4K,65.4,64.1,No,7.8
R000003,U00475,C0132,D00785,2025-02-21 20:29:07,Tablet,HD,28.2,53.3,No,20.8
R000004,U01392,C0123,D02316,2025-08-24 13:24:47,Móvil,HD,11.6,20.4,No,4.7
R000005,U00582,C0105,D00964,2025-06-27 18:09:27,Computador,SD,27.2,73.6,No,0.9
R000006,U01205,C0189,D02005,2025-10-27 09:37:37,Móvil,HD,28.3,88.3,No,4.8
R000007,U00586,C0218,D00970,2025-11-18 15:05:07,Computador,HD,46.6,77.7,No,2.5
R000008,U00053,C0105,D00086,2025-07-09 11:30:13,Smart TV,Full HD,36.3,98.2,No,4.1
R000009,U00339,C0195,D00574,2025-11-06 21:21:02,Smart TV,HD,25.7,53.6,No,3.1
R000010,U01315,C0185,D02186,2025-03-30 19:10:15,Smart TV,HD,32.0,91.5,No,0.6
R000011,U01449,C0346,D02406,2025-05-12 19:13:39,Móvil,Full HD,60.5,50.8,No,15.1
R000012,U00617,C0215,D01025,2025-12-20 11:22:46,Smart TV,SD,76.7,60.9,No,8.7
R000013,U01175,C0050,D01956,2025-04-15 14:32:52,Computador,Full HD,25.5,48.1,No,4.4
R000014,U00315,C0048,D00535,2025-10-24 13:19:30,Smart TV,Full HD,27.7,65.9,No,7.4
R000015,U00812,C0233,D01331,2025-05-11 18:37:37,Smart TV,Full HD,119.8,84.4,No,9.4
R000016,U00161,C0393,D00270,2025-10-31 23:21:25,Smart TV,Full HD,44.5,79.5,No,3.1
R000017,U00116,C0120,D00190,2025-06-11 19:09:27,Smart TV,4K,39.7,39.3,No,9.4
R000018,U00987,C0380,D01637,2025-12-09 18:31:58,Smart TV,SD,70.8,77.0,No,4.4
R000019,U00882,C0005,D01449,2025-04-20 20:57:51,Smart TV,4K,72.6,99.4,No,5.1
R000020,U01063,C0120,D01769,2025-10-04 15:50:46,Smart TV,Full HD,72.8,72.1,No,11.5
R000021,U00102,C0166,D00165,2025-02-01 22:48:53,Móvil,HD,48.5,59.1,No,14.3
R000022,U00037,C0011,D00060,2025-04-21 03:17:35,Computador,SD,98.3,81.9,No,1.3
R000023,U00172,C0134,D00288,2025-08-29 16:46:41,Smart TV,HD,76.0,81.7,No,9.4
R000024,U00027,C0068,D00043,2025-10-18 21:03:56,Tablet,Full HD,79.8,79.0,No,8.6
R000025,U00911,C0246,D01499,2025-07-20 20:52:57,Computador,HD,113.3,83.9,No,6.1
R000026,U01433,C0062,D02379,2025-02-25 20:56:01,Smart TV,Full HD,33.1,94.7,No,1.7
R000027,U00839,C0392,D01373,2025-08-12 15:10:17,Smart TV,SD,34.3,92.6,No,5.5
R000028,U01402,C0270,D02328,2025-12-23 17:19:12,Smart TV,4K,69.6,92.8,No,5.8
R000029,U01475,C0109,D02448,2025-12-10 12:30:34,Computador,Full HD,24.0,70.6,No,5.0
R000030,U00872,C0401,D01432,2025-12-06 20:00:41,Computador,Full HD,36.1,90.2,No,0.7
R000031,U00831,C0143,D01362,2025-06-16 09:24:21,Computador,4K,121.4,78.3,No,6.6
R000032,U00988,C0191,D01639,2025-09-11 09:59:19,Computador,HD,46.2,88.9,No,7.2
R000033,U01371,C0307,D02285,2025-06-07 16:38:10,Móvil,HD,41.1,31.6,No,26.3
R000034,U00547,C0122,D00909,2025-10-28 21:22:52,Móvil,Full HD,72.5,69.0,No,9.8
R000035,U01301,C0277,D02162,2025-01-11 14:02:53,Móvil,Full HD,82.7,55.1,No,4.1
R000036,U00718,C0419,D01174,2025-07-05 14:43:53,Móvil,Full HD,22.7,63.0,No,12.3
R000037,U00669,C0003,D01104,2025-09-18 13:03:21,Computador,SD,48.5,39.4,No,0
R000038,U01446,C0385,D02402,2025-06-01 23:25:24,Tablet,4K,36.7,44.7,No,13.3
R000039,U00849,C0180,D01391,2025-10-06 19:56:51,Smart TV,4K,47.5,55.2,No,5.3
R000040,U00837,C0377,D01371,2025-04-27 15:29:05,Tablet,Full HD,57.7,56.0,No,15.7
R000041,U00679,C0307,D01118,2025-12-27 20:36:07,Móvil,HD,78.7,60.5,No,9.6
R000042,U01343,C0356,D02234,2025-12-31 22:04:17,Móvil,Full HD,33.0,91.6,No,7.4
R000043,U00775,C0057,D01273,2025-11-01 20:46:14,Consola,4K,14.3,49.3,No,7.2
R000044,U00497,C0212,D00827,2025-12-16 11:59:49,Computador,4K,52.0,100,No,5.9
R000045,U00698,C0153,D01145,2025-08-16 01:08:39,Tablet,Full HD,22.6,78.1,No,7.9
R000046,U00365,C0157,D00609,2025-08-23 22:38:56,Smart TV,Full HD,27.9,53.7,No,6.8
R000047,U00919,C0361,D01515,2025-07-27 12:07:03,Móvil,HD,61.7,51.4,No,7.0
R000048,U00238,C0090,D00392,2025-10-30 22:33:53,Computador,4K,41.4,79.7,No,2.3
R000049,U00878,C0028,D01442,2025-10-27 19:17:09,Tablet,HD,125.7,85.5,No,6.8
R000050,U01448,C0057,D02404,2025-06-22 16:57:22,Computador,SD,29.0,100,No,2.4
R000051,U00576,C0170,D00954,2025-11-23 10:31:05,Tablet,HD,51.3,78.9,No,15.4
R000052,U00153,C0022,D00258,2025-02-13 15:32:16,Computador,4K,78.0,70.9,No,10.2
R000053,U00400,C0189,D00661,2025-08-14 20:59:08,Smart TV,HD,22.1,69.1,No,1.9
R000054,U01196,C0200,D01990,2025-06-25 21:28:51,Smart TV,HD,20.4,52.3,No,6.7
R000055,U00197,C0079,D00326,2025-11-24 09:31:50,Smart TV,Full HD,52.0,52.5,No,11.2
R000056,U00519,C0132,D00858,2025-12-02 16:39:37,Smart TV,Full HD,43.7,82.4,No,6.5
R000057,U00078,C0106,D00127,2025-02-27 21:43:08,Smart TV,Full HD,65.3,83.7,No,6.0
R000058,U00723,C0405,D01180,2025-11-25 09:53:24,Tablet,HD,23.2,70.4,No,13.6
R000059,U00047,C0414,D00076,2025-10-11 19:35:35,Computador,Full HD,29.0,72.6,No,1.7
R000060,U01223,C0046,D02038,2025-11-10 17:37:58,Smart TV,Full HD,57.1,63.4,No,1.5
R000061,U00906,C0296,D01491,2025-03-29 08:55:56,Computador,HD,78.6,70.8,No,1.6
R000062,U00659,C0380,D01089,2025-08-02 11:06:02,Móvil,HD,67.3,73.1,No,9.7
R000063,U00069,C0063,D00113,2025-01-23 19:31:40,Tablet,HD,56.0,56.0,No,6.3
R000064,U00015,C0143,D00021,2025-04-09 08:10:52,Computador,4K,117.3,75.7,No,10.2
R000065,U01336,C0326,D02221,2025-09-02 12:03:01,Smart TV,HD,42.0,100,No,4.9
R000066,U00633,C0357,D01051,2025-03-18 15:37:26,Computador,Full HD,60.0,100,No,3.1
R000067,U00561,C0238,D00935,2025-10-31 20:46:27,Móvil,4K,24.5,51.1,No,13.0
R000068,U00481,C0408,D00796,2025-08-15 21:40:34,Móvil,Full HD,60.9,47.2,No,17.9
R000069,U00283,C0150,D00473,2025-08-07 19:22:49,Smart TV,Full HD,32.2,94.8,No,0
R000070,U00890,C0302,D01465,2025-01-29 18:34:33,Smart TV,Full HD,97.2,85.3,No,8.5
R000071,U01315,C0161,D02186,2025-07-05 23:07:15,Smart TV,Full HD,79.0,100,No,5.6
R000072,U00932,C0115,D01538,2025-11-08 09:37:54,Computador,4K,73.5,68.7,No,1.6
R000073,U00889,C0239,D01463,2025-01-10 12:42:57,Smart TV,Full HD,33.5,64.5,No,3.1
R000074,U00401,C0221,D00663,2025-12-24 17:07:05,Móvil,HD,20.5,17.2,Sí,18.8
R000075,U00434,C0342,D00719,2025-01-29 19:27:58,Computador,Full HD,115.8,80.4,No,6.3
R000076,U00099,C0105,D00160,2025-06-03 12:44:17,Móvil,Full HD,24.7,66.7,No,6.1
R000077,U01483,C0343,D02460,2025-07-28 00:30:49,Computador,4K,23.5,61.9,No,2.9
R000078,U01464,C0021,D02431,2025-10-09 08:22:05,Consola,HD,31.6,79.1,No,11.1
R000079,U00014,C0010,D00018,2025-07-14 08:29:53,Tablet,Full HD,128.3,83.3,No,11.5
R000080,U01038,C0308,D01723,2025-08-11 22:32:20,Móvil,Full HD,22.5,75.0,No,10.7
R000081,U00266,C0368,D00447,2025-08-06 21:40:53,Móvil,Full HD,34.7,66.8,No,6.5
R000082,U01036,C0301,D01721,2025-11-26 14:04:37,Móvil,4K,32.5,66.3,No,20.9
R000083,U00479,C0273,D00792,2025-04-06 20:55:19,Computador,Full HD,33.5,62.1,No,5.0
R000084,U01261,C0201,D02097,2025-04-09 10:38:27,Computador,4K,54.1,61.5,No,6.1
R000085,U01308,C0230,D02175,2025-11-25 20:36:10,Tablet,HD,72.6,55.4,No,34.8
R000086,U00727,C0112,D01188,2025-05-01 21:51:07,Tablet,Full HD,27.7,66.0,No,0.7
R000087,U00383,C0352,D00639,2025-11-04 19:11:41,Computador,4K,52.6,76.2,No,9.4
R000088,U00540,C0227,D00898,2025-02-24 21:08:52,Tablet,Full HD,17.0,43.5,No,2.1
R000089,U00261,C0025,D00438,2025-07-14 11:33:40,Móvil,Full HD,46.0,83.7,No,8.3
R000090,U01179,C0004,D01961,2025-06-20 05:10:07,Consola,4K,63.2,64.5,No,2.7
R000091,U00719,C0170,D01175,2025-01-23 22:49:03,Computador,Full HD,65.0,100,No,3.9
R000092,U01273,C0134,D02118,2025-10-10 19:57:32,Tablet,HD,57.4,61.7,No,21.0
R000093,U00399,C0030,D00659,2025-06-08 11:23:34,Smart TV,SD,33.3,85.5,No,1.4
R000094,U01081,C0034,D01797,2025-09-20 09:37:15,Móvil,Full HD,21.5,74.2,No,20.0
R000095,U01151,C0046,D01913,2025-07-17 20:55:04,Smart TV,Full HD,45.0,50.0,No,10.4
R000096,U01222,C0334,D02036,2025-05-28 22:51:11,Computador,HD,57.5,38.6,No,10.4
R000097,U00845,C0367,D01385,2025-07-05 15:46:47,Smart TV,Full HD,27.8,79.5,No,10.7
R000098,U00918,C0253,D01514,2025-02-18 09:05:45,Computador,HD,27.6,64.2,No,11.8
R000099,U00542,C0056,D00901,2025-12-21 17:33:40,Smart TV,Full HD,43.9,79.8,No,6.5
R000100,U00104,C0331,D00170,2025-08-12 13:41:38,Smart TV,HD,23.0,47.0,No,9.0
R000101,U01139,C0157,D01894,2025-01-24 21:30:49,Computador,HD,44.7,86.0,No,6.3
R000102,U01256,C0114,D02090,2025-08-22 21:29:46,Móvil,Full HD,71.9,63.1,No,4.6
R000103,U00907,C0359,D01494,2025-12-01 09:46:02,Móvil,Full HD,124.2,81.7,No,1.3
R000104,U01200,C0010,D01997,2025-12-05 18:49:04,Móvil,SD,59.8,38.8,No,16.3
R000105,U01377,C0227,D02293,2025-06-19 19:34:02,Consola,Full HD,39.0,100,No,1.1
R000106,U01240,C0246,D02067,2025-06-19 09:52:04,Móvil,Full HD,86.1,63.8,No,9.4
R000107,U00053,C0415,D00086,2025-01-23 18:30:52,Smart TV,Full HD,100.6,75.1,No,0
R000108,U00369,C0375,D00616,2025-01-10 19:56:31,Smart TV,Full HD,110.7,71.9,No,14.2
R000109,U01169,C0121,D01945,2025-08-18 22:45:37,Smart TV,Full HD,46.2,88.8,No,0
R000110,U01375,C0399,D02290,2025-11-18 21:34:44,Smart TV,Full HD,77.5,76.0,No,4.6
R000111,U00558,C0304,D00930,2025-01-18 06:19:06,Tablet,SD,24.8,72.9,No,14.9
R000112,U00791,C0235,D01298,2025-09-26 07:11:47,Smart TV,Full HD,104.7,84.4,No,8.3
R000113,U01137,C0200,D01891,2025-04-12 19:44:32,Computador,HD,21.5,55.1,No,5.2
R000114,U01305,C0413,D02171,2025-12-01 11:47:33,Tablet,HD,52.7,82.4,No,8.6
R000115,U00276,C0363,D00461,2025-12-29 20:34:18,Computador,HD,28.4,66.0,No,8.7
R000116,U00537,C0369,D00892,2025-01-02 10:02:40,Móvil,HD,55.0,100,No,8.0
R000117,U01353,C0051,D02252,2025-07-07 21:16:06,Computador,Full HD,74.8,58.9,No,1.3
R000118,U01316,C0293,D02187,2025-01-30 21:55:44,Computador,Full HD,68.7,68.7,No,3.4
R000119,U00238,C0148,D00391,2025-10-18 21:20:53,Smart TV,Full HD,42.3,86.4,No,0
R000120,U00005,C0146,D00006,2025-09-30 21:25:19,Computador,Full HD,39.6,73.4,No,0.9
R000121,U00751,C0218,D01230,2025-08-16 20:56:07,Tablet,HD,60.0,100,No,11.7
R000122,U00587,C0311,D00972,2025-07-22 18:50:02,Tablet,Full HD,58.5,53.2,No,11.5
