suscripcion_id,usuario_id,plan,fecha_inicio,fecha_fin,estado,precio_mensual_usd,renovacion_automatica,motivo_cancelacion
S00001,U00001,Premium,2024-02-06,,Activa,13.99,Sí,
S00002,U00002,Básico,2025-05-13,,Activa,6.99,Sí,
S00003,U00003,Básico,2023-03-17,2025-12-20,Cancelada,6.99,No,Precio
S00004,U00004,Estándar,2023-01-25,,Activa,9.99,Sí,
S00005,U00005,Estándar,2025-03-16,,Activa,9.99,Sí,
S00006,U00006,Estándar,2025-03-13,,Activa,9.99,Sí,
S00007,U00007,Estándar,2023-05-16,2025-02-15,Cancelada,9.99,Sí,Poco uso
S00008,U00008,Estándar,2024-12-12,2025-04-12,Cancelada,9.99,Sí,Problemas técnicos
S00009,U00009,Premium,2024-04-26,,Activa,13.99,Sí,
S00010,U00010,Premium,2024-03-14,,Activa,13.99,Sí,
S00011,U00011,Básico,2023-04-10,,Activa,6.99,Sí,
S00012,U00012,Básico,2025-10-05,,Activa,6.99,Sí,
S00013,U00013,Básico,2024-12-02,,Activa,6.99,Sí,
S00014,U00014,Estándar,2025-03-04,,Activa,9.99,Sí,
S00015,U00015,Premium,2025-02-03,,Activa,13.99,Sí,
S00016,U00016,Premium,2023-01-16,,Activa,13.99,Sí,
S00017,U00017,Básico,2023-11-21,2025-05-18,Cancelada,6.99,No,Contenido insuficiente
S00018,U00018,Estándar,2024-06-19,2025-10-15,Cancelada,9.99,No,Problemas técnicos
S00019,U00019,Premium,2024-02-19,,Activa,13.99,Sí,
S00020,U00020,Premium,2025-07-16,,Activa,13.99,Sí,
S00021,U00021,Premium,2025-06-01,,Activa,13.99,Sí,
S00022,U00022,Básico,2023-06-22,2025-10-11,Cancelada,6.99,No,Poco uso
S00023,U00023,Básico,2024-12-15,,Activa,6.99,Sí,
S00024,U00024,Premium,2025-01-30,,Activa,13.99,Sí,
S00025,U00025,Estándar,2024-11-02,2025-03-30,Cancelada,9.99,No,Precio
S00026,U00026,Estándar,2025-08-09,2025-10-14,Cancelada,9.99,No,Poco uso
S00027,U00027,Básico,2025-04-21,,Activa,6.99,Sí,
S00028,U00028,Básico,2023-09-22,,Activa,6.99,Sí,
S00029,U00029,Premium,2024-02-12,,Activa,13.99,Sí,
S00030,U00030,Básico,2024-03-16,,Activa,6.99,Sí,
S00031,U00031,Básico,2024-12-20,2025-06-24,Cancelada,6.99,No,Contenido insuficiente
S00032,U00032,Básico,2025-06-17,2025-12-20,Cancelada,6.99,No,Poco uso
S00033,U00033,Estándar,2023-02-10,,Activa,9.99,Sí,
S00034,U00034,Estándar,2024-04-23,,Activa,9.99,Sí,
S00035,U00035,Básico,2025-05-11,2025-09-21,Cancelada,6.99,Sí,Cambio a otra plataforma
S00036,U00036,Básico,2024-02-21,,Activa,6.99,Sí,
S00037,U00037,Básico,2023-02-13,2025-05-31,Cancelada,6.99,No,Poco uso
S00038,U00038,Básico,2025-10-10,,Activa,6.99,Sí,
S00039,U00039,Estándar,2024-10-26,,Activa,9.99,Sí,
S00040,U00040,Básico,2025-02-21,,Activa,6.99,Sí,
S00041,U00041,Estándar,2023-11-02,,Activa,9.99,Sí,
S00042,U00042,Premium,2025-08-20,,Activa,13.99,Sí,
S00043,U00043,Estándar,2023-03-30,,Activa,9.99,Sí,
S00044,U00044,Básico,2024-06-15,,Activa,6.99,Sí,
S00045,U00045,Premium,2024-06-26,2025-01-29,Cancelada,13.99,Sí,Precio
S00046,U00046,Estándar,2025-01-21,,Activa,9.99,Sí,
S00047,U00047,Estándar,2025-09-23,,Activa,9.99,Sí,
S00048,U00048,Básico,2025-08-09,,Activa,6.99,Sí,
S00049,U00049,Estándar,2024-09-25,,Activa,9.99,Sí,
S00050,U00050,Estándar,2023-12-08,,Activa,9.99,Sí,
S00051,U00051,Estándar,2023-02-12,,Activa,9.99,Sí,
S00052,U00052,Básico,2024-11-26,,Activa,6.99,Sí,
S00053,U00053,Básico,2023-05-07,,Activa,6.99,Sí,
S00054,U00054,Premium,2025-01-12,,Activa,13.99,Sí,
S00055,U00055,Estándar,2025-11-01,,Activa,9.99,Sí,
S00056,U00056,Estándar,2025-09-13,2025-11-26,Cancelada,9.99,No,Precio
S00057,U00057,Estándar,2025-02-26,,Activa,9.99,Sí,
S00058,U00058,Básico,2023-07-15,2025-11-29,Cancelada,6.99,No,Cambio a otra plataforma
S00059,U00059,Premium,2024-02-24,2025-11-14,Cancelada,13.99,No,Cambio a otra plataforma
S00060,U00060,Estándar,2025-01-17,,Activa,9.99,Sí,
S00061,U00061,Estándar,2025-03-11,,Activa,9.99,Sí,
S00062,U00062,Estándar,2023-09-04,,Activa,9.99,Sí,
S00063,U00063,Estándar,2024-09-09,,Activa,9.99,Sí,
S00064,U00064,Básico,2025-01-07,2025-12-03,Cancelada,6.99,No,Problemas técnicos
S00065,U00065,Estándar,2023-05-27,,Activa,9.99,Sí,
S00066,U00066,Estándar,2023-08-18,,Activa,9.99,Sí,
S00067,U00067,Premium,2024-04-14,,Activa,13.99,Sí,
S00068,U00068,Básico,2025-05-01,2025-06-27,Cancelada,6.99,Sí,Poco uso
S00069,U00069,Premium,2023-04-01,2025-06-22,Cancelada,13.99,No,Poco uso
